order	tag	stat	stat_text	qbname	playername	year	week	team	opponent	coachstat
10	ui_LongPassingPlay	10000	y	10000	10000	10000	10000	10000	10000	10000
20	ui_LongRushingPlay	10000	y	10000	10000	10000	10000	10000	10000	10000
30	ui_LongPassTD	10000	y	10000	10000	10000	10000	10000	10000	10000
40	ui_LongRushTD	10000	y	10000	10000	10000	10000	10000	10000	10000
50	ui_LongPassAir	10000	y	10000	10000	10000	10000	10000	10000	10000
60	ui_LongFG	10000	y	10000	10000	10000	10000	10000	10000	10000
70	ui_BestPassGame	10000	y	10000	10000	10000	10000	10000	10000	10000
80	ui_BestPassSeason	10000	y	10000	10000	10000	10000	10000	10000	10000
90	ui_BestPassCareer	10000	y	10000	10000	10000	10000	10000	10000	10000
100	ui_BestRecGame	10000	y	10000	10000	10000	10000	10000	10000	10000
110	ui_BestRecSeason	10000	y	10000	10000	10000	10000	10000	10000	10000
120	ui_BestRecCareer	10000	y	10000	10000	10000	10000	10000	10000	10000
130	ui_BestRushGame	10000	y	10000	10000	10000	10000	10000	10000	10000
140	ui_BestRushSeason	10000	y	10000	10000	10000	10000	10000	10000	10000
150	ui_BestRushCareer	10000	y	10000	10000	10000	10000	10000	10000	10000
160	ui_MostTDPassesGame	10000		10000	10000	10000	10000	10000	10000	10000
170	ui_MostTDPassesSeason	10000		10000	10000	10000	10000	10000	10000	10000
180	ui_MostTDPassesCareer	10000		10000	10000	10000	10000	10000	10000	10000
190	ui_MostTDRecGame	10000		10000	10000	10000	10000	10000	10000	10000
200	ui_MostTDRecSeason	10000		10000	10000	10000	10000	10000	10000	10000
210	ui_MostTDRecCareer	10000		10000	10000	10000	10000	10000	10000	10000
220	ui_MostTDRushGame	10000		10000	10000	10000	10000	10000	10000	10000
230	ui_MostTDRushSeason	10000		10000	10000	10000	10000	10000	10000	10000
240	ui_MostTDRushCareer	10000		10000	10000	10000	10000	10000	10000	10000
250	ui_BestFGDistGame	10000	y	10000	10000	10000	10000	10000	10000	10000
260	ui_BestFGDistSeason	10000	y	10000	10000	10000	10000	10000	10000	10000
270	ui_BestFGDistCareer	10000	y	10000	10000	10000	10000	10000	10000	10000
280	ui_MostFGGame	10000		10000	10000	10000	10000	10000	10000	10000
290	ui_MostFGSeason	10000		10000	10000	10000	10000	10000	10000	10000
300	ui_MostFGCareer	10000		10000	10000	10000	10000	10000	10000	10000
310	ui_MostTacklesGame	10000		10000	10000	10000	10000	10000	10000	10000
320	ui_MostTacklesSeason	10000		10000	10000	10000	10000	10000	10000	10000
330	ui_MostTacklesCareer	10000		10000	10000	10000	10000	10000	10000	10000
340	ui_MostSacksGame	10000		10000	10000	10000	10000	10000	10000	10000
350	ui_MostSacksSeason	10000		10000	10000	10000	10000	10000	10000	10000
360	ui_MostSacksCareer	10000		10000	10000	10000	10000	10000	10000	10000
370	ui_MostIntGame	10000		10000	10000	10000	10000	10000	10000	10000
380	ui_MostIntSeason	10000		10000	10000	10000	10000	10000	10000	10000
390	ui_MostIntCareer	10000		10000	10000	10000	10000	10000	10000	10000
391	ui_MostFFGame	10000		10000	10000	10000	10000	10000	10000	10000
392	ui_MostFFSeason	10000		10000	10000	10000	10000	10000	10000	10000
393	ui_MostFFCareer	10000		10000	10000	10000	10000	10000	10000	10000
400	ui_MostPointsGame	10000		10000	10000	10000	10000	10000	10000	1
410	ui_BiggestWin	10000		10000	10000	10000	10000	10000	10000	1
420	ui_BiggestLoss	10000		10000	10000	10000	10000	10000	10000	1
430	ui_MostTDsGame	10000		10000	10000	10000	10000	10000	10000	1
440	ui_LongKickReturn	10000	y	10000	10000	10000	10000	10000	10000	10000
450	ui_MostReturnYardsGame	10000	y	10000	10000	10000	10000	10000	10000	10000
460	ui_MostReturnYardsSeason	10000	y	10000	10000	10000	10000	10000	10000	10000
470	ui_MostReturnYardsCareer	10000	y	10000	10000	10000	10000	10000	10000	10000
